date,msft_open,msft_high,msft_low,msft_close,msft_volume,spy_open,spy_high,spy_low,spy_close,spy_volume
2016-07-14,53.84,53.990002,53.580002,53.740002,24545500,216.4,216.67,215.66,216.12,90720450
2016-07-15,53.950001,54.0,53.209999,53.700001,32024400,216.78,217.0125,215.308,215.83,103992200
2016-07-18,53.700001,54.34,53.549999,53.959999,31433900,215.97,216.6,215.67,216.4092,58340610
2016-07-19,53.709999,53.900002,52.93,53.09,53336500,215.92,216.23,215.63,216.19,54247840
2016-07-20,56.150002,56.84,55.529999,55.91,89893300,216.75,217.37,216.24,217.085,58004900
2016-07-21,55.98,56.23,55.759998,55.799999,32776700,216.96,217.22,215.75,216.265,67610880
2016-07-22,56.080002,56.630001,55.779999,56.57,32157200,216.41,217.3,216.1,217.24,62676500
2016-07-25,56.470001,56.740002,56.259998,56.73,25610600,217.0,217.06,215.97,216.65,55742050
2016-07-26,56.52,57.290001,56.509998,56.759998,28079000,216.53,217.17,215.76,216.75,69685850
2016-07-27,56.610001,56.799999,56.110001,56.189999,32327500,217.19,217.27,215.62,216.52,83930010
2016-07-28,56.0,56.369999,55.720001,56.209999,37550400,216.29,217.11,215.75,216.77,64786550
2016-07-29,56.259998,56.759998,56.049999,56.68,30558700,216.46,217.54,216.13,217.12,79329720
2016-08-01,56.599998,56.75,56.139999,56.580002,26003400,217.19,217.65,216.405,216.94,73111310
2016-08-02,56.849998,56.900002,56.310001,56.580002,35122000,216.65,216.83,214.57,215.5492,92202880
2016-08-03,56.68,57.110001,56.490002,56.970001,22075600,215.48,216.245,215.13,216.18,53665810
2016-08-04,56.799999,57.52,56.669998,57.389999,26587700,216.31,216.78,214.25,216.4097,46454000
2016-08-05,57.650002,58.209999,57.450001,57.959999,29335200,217.21,218.23,217.07,218.18,71799630
2016-08-08,58.060001,58.09,57.779999,58.060001,19473500,218.4,218.52,217.74,218.05,39681420
2016-08-09,58.169998,58.5,58.02,58.200001,16920700,218.13,218.76,217.8,218.18,51073070
2016-08-10,58.16,58.32,57.82,58.02,15756900,218.31,218.4038,217.23,217.64,57758740
2016-08-11,58.029999,58.450001,58.029999,58.299999,18162300,218.26,218.94,217.95,218.65,72337050
2016-08-12,58.029999,58.189999,57.619999,57.939999,21655200,218.29,218.71,217.99,218.46,61208890
2016-08-15,58.009998,58.5,57.959999,58.119999,19283900,218.89,219.5,218.88,219.09,49712550
2016-08-16,57.610001,57.619999,57.27,57.439999,20523500,218.6,218.68,217.96,217.96,53068810
2016-08-17,57.540001,57.68,57.23,57.560001,18856400,218.0,218.53,217.02,218.37,74886240
2016-08-18,57.419998,57.700001,57.27,57.599998,14214300,218.34,218.9,218.21,218.86,52668540
2016-08-19,57.43,57.73,57.200001,57.619999,17271000,218.31,218.75,217.74,218.54,75244030
2016-08-22,57.599998,57.75,57.259998,57.669998,15221900,218.26,218.8,217.83,218.53,61318460
2016-08-23,57.900002,58.18,57.849998,57.889999,18732400,219.25,219.6,218.9,218.97,53289030
2016-08-24,57.799999,58.040001,57.720001,57.950001,18151500,218.8,218.91,217.36,217.85,71553010
2016-08-25,57.880001,58.290001,57.779999,58.169998,18552600,217.4,218.19,217.22,217.7,69128600
2016-08-26,58.279999,58.700001,57.689999,58.029999,20971200,217.92,219.12,216.25,217.29,122386400
2016-08-29,58.18,58.599998,58.099998,58.099998,16417200,217.44,218.665,217.4,218.3608,70431280
2016-08-30,57.98,58.189999,57.610001,57.889999,16930200,218.26,218.59,217.35,218.0,57588550
2016-08-31,57.650002,57.799999,57.299999,57.459999,20860300,217.61,217.75,216.465,217.38,84916020
2016-09-01,57.009998,57.82,57.009998,57.59,26075400,217.37,217.73,216.03,217.39,97720490
2016-09-02,57.669998,58.189999,57.419998,57.669998,18900500,218.39,218.87,217.7,218.37,79119470
2016-09-06,57.779999,57.799999,57.209999,57.610001,16278400,218.7,219.12,217.86,219.0308,56528000
2016-09-07,57.470001,57.84,57.41,57.66,17493400,218.84,219.22,218.3,219.01,76302150
2016-09-08,57.630001,57.790001,57.18,57.43,20146100,218.62,218.94,218.15,218.51,73855230
2016-09-09,56.790001,57.52,56.209999,56.209999,35113900,216.97,217.03,213.25,213.28,220309300
2016-09-12,56.0,57.209999,55.610001,57.049999,29303000,212.39,216.81,212.31,216.34,167653400
2016-09-13,56.5,56.650002,56.049999,56.529999,30130200,214.84,215.1499,212.5,213.23,182323200
2016-09-14,56.389999,56.630001,56.029999,56.259998,24062500,213.29,214.7,212.5,213.15,133064600
2016-09-15,56.150002,57.349998,55.98,57.189999,26847000,212.96,215.73,212.75,215.28,144092600
2016-09-16,57.630001,57.630001,56.75,57.25,44607000,213.48,213.69,212.57,213.37,155109000
2016-09-19,57.27,57.75,56.849998,56.93,20937100,214.13,214.88,213.03,213.41,80099180
2016-09-20,57.349998,57.349998,56.75,56.810001,17384000,214.41,214.59,213.38,213.42,69217930
2016-09-21,57.509998,57.849998,57.080002,57.759998,33707300,214.24,216.03,213.44,215.82,110068700
2016-09-22,57.919998,58.0,57.630001,57.82,19822200,217.0,217.53,216.71,217.18,76535390
2016-09-23,57.869999,57.91,57.380001,57.43,19955300,216.72,216.88,215.88,215.99,73464500
2016-09-26,57.080002,57.139999,56.830002,56.900002,21688700,215.02,215.23,214.01,214.24,89700700
2016-09-27,56.93,58.060001,56.68,57.950001,28065100,214.05,215.68,213.62,215.57,77854200
2016-09-28,57.880001,58.060001,57.669998,58.029999,20536400,215.83,216.82,214.71,216.64,87095790
2016-09-29,57.810001,58.169998,57.209999,57.400002,25463500,216.4,216.87,214.04,214.68,127225400
2016-09-30,57.57,57.77,57.34,57.599998,29910800,215.65,217.12,215.36,216.3,115113500
2016-10-03,57.41,57.549999,57.060001,57.419998,19189500,215.82,216.04,215.04,215.78,83386110
2016-10-04,57.27,57.599998,56.970001,57.240002,20085900,215.91,216.17,213.99,214.68,119749100
2016-10-05,57.290001,57.959999,57.259998,57.639999,16726400,215.41,216.13,215.33,215.63,72685460
2016-10-06,57.740002,57.860001,57.279999,57.740002,16212600,215.37,216.04,214.735,215.78,62519840
2016-10-07,57.849998,57.98,57.419998,57.799999,20089000,216.1,216.3,214.19,215.04,89597910
2016-10-10,57.91,58.389999,57.869999,58.040001,18196500,216.155,216.7,215.985,216.16,51620410
2016-10-11,57.889999,58.02,56.889999,57.189999,26497400,215.66,215.74,212.58,213.43,130183700
2016-10-12,57.110001,57.27,56.400002,57.110001,22177500,213.59,214.32,213.01,213.71,73322980
2016-10-13,56.700001,57.299999,56.32,56.919998,25313700,212.16,213.59,211.21,213.01,101184500
2016-10-14,57.119999,57.740002,57.119999,57.419998,27402500,214.15,214.69,213.03,213.12,93285170
2016-10-17,57.360001,57.459999,56.869999,57.220001,23830000,213.09,213.39,212.17,212.38,58185200
2016-10-18,57.529999,57.950001,57.41,57.66,19149500,214.24,214.31,213.27,213.71,76618560
2016-10-19,57.470001,57.84,57.400002,57.529999,22878400,214.02,214.64,213.6,214.28,66342420
2016-10-20,57.5,57.52,56.66,57.25,49455600,213.87,214.53,213.11,213.88,73492220
2016-10-21,60.279999,60.450001,59.490002,59.66,80032200,212.96,214.08,212.76,213.98,88974470
2016-10-24,59.939999,61.0,59.93,61.0,54067000,215.0,215.32,214.48,214.89,59934750
2016-10-25,60.849998,61.369999,60.799999,60.990002,35137200,214.68,214.98,213.98,214.17,66356080
2016-10-26,60.810001,61.200001,60.470001,60.630001,29911600,213.21,214.42,212.93,213.74,75561030
2016-10-27,60.610001,60.830002,60.09,60.099998,28479900,214.58,214.62,213.08,213.17,77031450
2016-10-28,60.009998,60.52,59.580002,59.869999,33574700,213.14,213.93,211.71,212.54,140491700
2016-10-31,60.16,60.419998,59.919998,59.919998,26434700,212.93,213.19,212.36,212.55,60669300
2016-11-01,59.970001,60.02,59.25,59.799999,24533000,212.93,212.99,209.6,211.01,122395800
2016-11-02,59.82,59.93,59.299999,59.43,22147000,210.65,211.1,209.23,209.74,102709200
